epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.2797,3.80585,6.0701,2.47108,0.00454,0.16216,0.00102,0.00025,2.27093,5.77883,1.82246,2e-05,2e-05,2e-05
2,52.9233,3.53003,5.68653,2.61262,0.00333,0.16216,0.00084,0.00024,2.17082,4.6053,1.74789,5.8812e-05,5.8812e-05,5.8812e-05
3,73.0959,3.35822,4.93291,2.36436,0.00965,0.24324,0.00783,0.00309,1.89912,3.60445,1.6607,9.604e-05,9.604e-05,9.604e-05
4,98.8917,3.13856,4.0744,2.24251,0.18017,0.24324,0.10227,0.05687,1.97022,3.87295,1.7114,0.000131684,0.000131684,0.000131684
5,124.772,2.86031,3.6569,2.04242,0.18101,0.40541,0.13771,0.07342,1.92687,5.74733,1.67681,0.000165744,0.000165744,0.000165744
6,152.062,2.60416,3.30459,1.66694,0.31964,0.18919,0.15817,0.05457,2.1076,5.32981,1.77351,0.00019822,0.00019822,0.00019822
7,167.796,2.54673,2.96299,1.73678,0.12615,0.24324,0.07854,0.02196,2.26141,3.71848,1.8966,0.000229112,0.000229112,0.000229112
8,182.891,2.78886,3.3274,1.82941,0.02364,0.18919,0.02246,0.00521,2.46858,4.25058,2.0225,0.00025842,0.00025842,0.00025842
9,198.351,2.62102,3.10055,1.85131,0.01823,0.72973,0.01465,0.00314,2.53535,6.85557,2.0511,0.000286144,0.000286144,0.000286144
10,215.442,2.07877,2.67953,1.64665,0.01958,0.27027,0.01291,0.00288,2.55446,13.3894,2.03643,0.000312284,0.000312284,0.000312284
11,231.408,2.28455,2.8782,1.70208,0.04604,0.13514,0.0277,0.00635,2.43483,16.9258,1.93332,0.00033684,0.00033684,0.00033684
12,246.696,2.2805,2.5065,1.67255,0.07741,0.13514,0.0715,0.02185,2.3376,9.97768,1.83885,0.000359812,0.000359812,0.000359812
13,261.704,2.3288,2.31315,1.59525,0.08118,0.21622,0.06713,0.02749,2.31894,5.87477,1.77736,0.0003812,0.0003812,0.0003812
14,281.564,2.16906,2.15721,1.45355,0.2032,0.35135,0.12527,0.06388,2.31851,4.3953,1.75237,0.000401004,0.000401004,0.000401004
15,304.688,2.01645,2.05034,1.44947,0.37999,0.21622,0.18729,0.08164,2.32049,3.55958,1.75093,0.000419224,0.000419224,0.000419224
16,320.494,2.13818,2.49076,1.57809,0.25143,0.18919,0.11724,0.05571,2.3623,3.7123,1.76448,0.00043586,0.00043586,0.00043586
17,335.743,2.03198,2.20975,1.491,0.50615,0.08108,0.09569,0.04059,2.31523,4.48225,1.72693,0.000450912,0.000450912,0.000450912
18,350.816,1.97964,1.97783,1.41675,0.06041,0.21622,0.07639,0.01935,2.32974,3.98439,1.77153,0.00046438,0.00046438,0.00046438
19,366.642,1.90914,2.23352,1.56776,0.07874,0.45736,0.0937,0.03256,2.28036,3.06407,1.68351,0.000476264,0.000476264,0.000476264
20,387.739,1.83326,1.72803,1.30982,0.22071,0.18919,0.1494,0.05917,2.22991,2.91542,1.61978,0.000486564,0.000486564,0.000486564
21,402.789,1.80754,1.69175,1.28352,0.17825,0.27027,0.14717,0.05705,2.29964,3.29662,1.64573,0.00049528,0.00049528,0.00049528
22,423.739,1.88278,1.88395,1.42431,0.14395,0.2973,0.11104,0.03906,2.30859,3.32144,1.66493,0.000502412,0.000502412,0.000502412
23,439.431,1.94225,2.04029,1.49053,0.20732,0.35135,0.13616,0.03884,2.33413,3.1602,1.69244,0.00050796,0.00050796,0.00050796
24,454.685,1.88593,1.85443,1.39576,0.2375,0.40541,0.18934,0.04888,2.28642,2.81238,1.67411,0.000511924,0.000511924,0.000511924
25,469.716,2.08422,1.88868,1.44628,0.19299,0.35135,0.16278,0.04305,2.233,2.77113,1.66271,0.000514304,0.000514304,0.000514304
